year,geo,structure_type,building_permits_sum,population,percentage_of_seniors,percentage_of_students,GDP_millions
2018,New Brunswick,Total minor institutional and governmental projects,77,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Total minor non-residential projects,655,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Total minor residential and non-residential,3594,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Total minor residential project,2939,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Trade and services,56,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Transportation terminal,1,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Transportation, utilities",6,772524.00,20.48,12.67,30400.00
2018,New Brunswick,University,5,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Utility building,5,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Warehouses,12,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Welfare, home",2,772524.00,20.48,12.67,30400.00
2018,Newfoundland and Labrador,Agriculture,1,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Apartment,71,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Apartment condominium,9,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Apartment total,80,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Churches, religion",2,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Clinic - health unit, out-patient clinic, first aid station",0,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Communication building,0,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Convention center, exhibition building",0,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Double total,44,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Elementary school, kindergarten",0,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Factories, plants",3,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Government buildings,4,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Government legislative and administration building other than office building - city hall, court of justice, embassy, parliament and senate building",2,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Hospital general - military, specialized",0,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Hotel, hotel and motel, motor hotel",3,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Hotels, restaurants",11,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Indoor recreational building - sports complex, tennis court and squash, community center, arena, curling club, swimming pool",3,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Laboratories,0,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Library, museum, art gallery, aquarium, botanical garden, archive building, scientific center",0,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Maintenance building,0,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Major multiple dwelling projects,175,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Medical, hospital",0,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Mining and agriculture,1,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Mining building,0,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Minor multiple dwelling projects,218,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Motel, cabin for tourism",0,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Motor vehicle show room (new and used) - car dealership, used car, motorcycle and tractor sale",0,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Multiple dwelling building total,504,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Office building - consultant's office, doctor's office, insurance company, bank, taxi stand, office with cafeteria, office with smoke shop",9,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Office buildings,9,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Office complex, office and store, office and apartment",0,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Other accommodation - student's residence, boarding house, religious residence, hostel, dormitory",3,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Other government building - police station, prison, fire station, military building",2,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Outdoor recreational building - country club, golf club campground facilities, outdoor skating rink, outdoor swimming pool",0,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Plant for manufacturing, processing and assembling goods",3,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Post-secondary institution - technical institute, trade school",1,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Recreation,3,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Restaurant, bar, tavern, night club, diner, donut shop",5,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Retail and wholesale outlets,17,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Retail complex - plaza, mall, shopping center, store and office building",5,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Row condominium,0,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Schools, education",2,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Secondary school, high school, junior high school",1,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Service stations,4,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Special building use - funeral director, crematorium, mausoleum",0,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Theatre and performing art center - movie theatre, concert hall, opera house, cultural center",0,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Total demolitions,62,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Total major institutional and governmental projects,15,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Total major non-residential projects,76,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Total major permits residential and non-residential,1026,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Total major residential project,950,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Total minor commercial projects,542,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Total minor industrial projects,48,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Total minor institutional and governmental projects,22,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Total minor non-residential projects,612,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Total minor residential and non-residential,4098,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Total minor residential project,3486,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Trade and services,22,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Transportation terminal,1,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Transportation, utilities",5,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,University,0,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Utility building,4,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,Warehouses,3,525765.00,20.82,18.62,30400.00
2018,Newfoundland and Labrador,"Welfare, home",7,525765.00,20.82,18.62,30400.00
2018,Nova Scotia,Agriculture,16,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Apartment,986,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Apartment condominium,0,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Apartment total,986,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Churches, religion",1,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Clinic - health unit, out-patient clinic, first aid station",0,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Communication building,0,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Convention center, exhibition building",0,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Double total,212,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Elementary school, kindergarten",2,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Factories, plants",10,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Government buildings,2,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Government legislative and administration building other than office building - city hall, court of justice, embassy, parliament and senate building",1,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Hospital general - military, specialized",0,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Hotel, hotel and motel, motor hotel",2,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Hotels, restaurants",10,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Indoor recreational building - sports complex, tennis court and squash, community center, arena, curling club, swimming pool",4,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Laboratories,2,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Library, museum, art gallery, aquarium, botanical garden, archive building, scientific center",0,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Maintenance building,2,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Major multiple dwelling projects,1280,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Medical, hospital",0,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Mining and agriculture,16,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Mining building,0,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Minor multiple dwelling projects,129,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Motel, cabin for tourism",1,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Motor vehicle show room (new and used) - car dealership, used car, motorcycle and tractor sale",1,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Multiple dwelling building total,2414,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Office building - consultant's office, doctor's office, insurance company, bank, taxi stand, office with cafeteria, office with smoke shop",23,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Office buildings,23,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Office complex, office and store, office and apartment",0,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Other accommodation - student's residence, boarding house, religious residence, hostel, dormitory",2,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Other government building - police station, prison, fire station, military building",1,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Outdoor recreational building - country club, golf club campground facilities, outdoor skating rink, outdoor swimming pool",2,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Plant for manufacturing, processing and assembling goods",8,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Post-secondary institution - technical institute, trade school",2,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Recreation,7,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Restaurant, bar, tavern, night club, diner, donut shop",5,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Retail and wholesale outlets,41,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Retail complex - plaza, mall, shopping center, store and office building",4,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Row condominium,0,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Schools, education",7,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Secondary school, high school, junior high school",0,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Service stations,5,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Special building use - funeral director, crematorium, mausoleum",0,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Theatre and performing art center - movie theatre, concert hall, opera house, cultural center",1,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Total demolitions,157,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Total major institutional and governmental projects,10,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Total major non-residential projects,137,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Total major permits residential and non-residential,3548,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Total major residential project,3411,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Total minor commercial projects,531,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Total minor industrial projects,93,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Total minor institutional and governmental projects,53,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Total minor non-residential projects,677,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Total minor residential and non-residential,2790,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Total minor residential project,2113,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Trade and services,46,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Transportation terminal,2,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Transportation, utilities",3,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,University,3,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Utility building,1,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,Warehouses,5,963309.00,19.99,12.46,36700.00
2018,Nova Scotia,"Welfare, home",0,963309.00,19.99,12.46,36700.00
2018,Ontario,Agriculture,411,14393683.00,16.49,14.18,730300.00
2018,Ontario,Apartment,13435,14393683.00,16.49,14.18,730300.00
2018,Ontario,Apartment condominium,9983,14393683.00,16.49,14.18,730300.00
2018,Ontario,Apartment total,23418,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Churches, religion",46,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Clinic - health unit, out-patient clinic, first aid station",10,14393683.00,16.49,14.18,730300.00
2018,Ontario,Communication building,10,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Convention center, exhibition building",10,14393683.00,16.49,14.18,730300.00
2018,Ontario,Double total,2173,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Elementary school, kindergarten",181,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Factories, plants",231,14393683.00,16.49,14.18,730300.00
2018,Ontario,Government buildings,43,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Government legislative and administration building other than office building - city hall, court of justice, embassy, parliament and senate building",17,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Hospital general - military, specialized",93,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Hotel, hotel and motel, motor hotel",41,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Hotels, restaurants",263,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Indoor recreational building - sports complex, tennis court and squash, community center, arena, curling club, swimming pool",87,14393683.00,16.49,14.18,730300.00
2018,Ontario,Laboratories,5,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Library, museum, art gallery, aquarium, botanical garden, archive building, scientific center",22,14393683.00,16.49,14.18,730300.00
2018,Ontario,Maintenance building,36,14393683.00,16.49,14.18,730300.00
2018,Ontario,Major multiple dwelling projects,36393,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Medical, hospital",103,14393683.00,16.49,14.18,730300.00
2018,Ontario,Mining and agriculture,424,14393683.00,16.49,14.18,730300.00
2018,Ontario,Mining building,13,14393683.00,16.49,14.18,730300.00
2018,Ontario,Minor multiple dwelling projects,1985,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Motel, cabin for tourism",1,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Motor vehicle show room (new and used) - car dealership, used car, motorcycle and tractor sale",29,14393683.00,16.49,14.18,730300.00
2018,Ontario,Multiple dwelling building total,67085,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Office building - consultant's office, doctor's office, insurance company, bank, taxi stand, office with cafeteria, office with smoke shop",799,14393683.00,16.49,14.18,730300.00
2018,Ontario,Office buildings,808,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Office complex, office and store, office and apartment",9,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Other accommodation - student's residence, boarding house, religious residence, hostel, dormitory",29,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Other government building - police station, prison, fire station, military building",26,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Outdoor recreational building - country club, golf club campground facilities, outdoor skating rink, outdoor swimming pool",30,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Plant for manufacturing, processing and assembling goods",195,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Post-secondary institution - technical institute, trade school",44,14393683.00,16.49,14.18,730300.00
2018,Ontario,Recreation,135,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Restaurant, bar, tavern, night club, diner, donut shop",182,14393683.00,16.49,14.18,730300.00
2018,Ontario,Retail and wholesale outlets,372,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Retail complex - plaza, mall, shopping center, store and office building",182,14393683.00,16.49,14.18,730300.00
2018,Ontario,Row condominium,1810,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Schools, education",406,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Secondary school, high school, junior high school",100,14393683.00,16.49,14.18,730300.00
2018,Ontario,Service stations,52,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Special building use - funeral director, crematorium, mausoleum",10,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Theatre and performing art center - movie theatre, concert hall, opera house, cultural center",18,14393683.00,16.49,14.18,730300.00
2018,Ontario,Total demolitions,2635,14393683.00,16.49,14.18,730300.00
2018,Ontario,Total major institutional and governmental projects,653,14393683.00,16.49,14.18,730300.00
2018,Ontario,Total major non-residential projects,3527,14393683.00,16.49,14.18,730300.00
2018,Ontario,Total major permits residential and non-residential,69928,14393683.00,16.49,14.18,730300.00
2018,Ontario,Total major residential project,66401,14393683.00,16.49,14.18,730300.00
2018,Ontario,Total minor commercial projects,7405,14393683.00,16.49,14.18,730300.00
2018,Ontario,Total minor industrial projects,3130,14393683.00,16.49,14.18,730300.00
2018,Ontario,Total minor institutional and governmental projects,1442,14393683.00,16.49,14.18,730300.00
2018,Ontario,Total minor non-residential projects,11977,14393683.00,16.49,14.18,730300.00
2018,Ontario,Total minor residential and non-residential,35586,14393683.00,16.49,14.18,730300.00
2018,Ontario,Total minor residential project,23609,14393683.00,16.49,14.18,730300.00
2018,Ontario,Trade and services,593,14393683.00,16.49,14.18,730300.00
2018,Ontario,Transportation terminal,69,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Transportation, utilities",130,14393683.00,16.49,14.18,730300.00
2018,Ontario,University,59,14393683.00,16.49,14.18,730300.00
2018,Ontario,Utility building,51,14393683.00,16.49,14.18,730300.00
2018,Ontario,Warehouses,233,14393683.00,16.49,14.18,730300.00
2018,Ontario,"Welfare, home",55,14393683.00,16.49,14.18,730300.00
2018,Prince Edward Island,Agriculture,5,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Apartment,167,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Apartment condominium,0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Apartment total,167,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Churches, religion",0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Clinic - health unit, out-patient clinic, first aid station",0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Communication building,0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Convention center, exhibition building",0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Double total,57,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Elementary school, kindergarten",0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Factories, plants",5,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Government buildings,0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Government legislative and administration building other than office building - city hall, court of justice, embassy, parliament and senate building",0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Hospital general - military, specialized",1,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Hotel, hotel and motel, motor hotel",2,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Hotels, restaurants",6,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Indoor recreational building - sports complex, tennis court and squash, community center, arena, curling club, swimming pool",1,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Laboratories,0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Library, museum, art gallery, aquarium, botanical garden, archive building, scientific center",0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Maintenance building,0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Major multiple dwelling projects,266,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Medical, hospital",1,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Mining and agriculture,5,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Mining building,0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Minor multiple dwelling projects,6,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Motel, cabin for tourism",1,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Motor vehicle show room (new and used) - car dealership, used car, motorcycle and tractor sale",0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Multiple dwelling building total,487,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Office building - consultant's office, doctor's office, insurance company, bank, taxi stand, office with cafeteria, office with smoke shop",2,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Office buildings,2,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Office complex, office and store, office and apartment",0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Other accommodation - student's residence, boarding house, religious residence, hostel, dormitory",1,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Other government building - police station, prison, fire station, military building",0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Outdoor recreational building - country club, golf club campground facilities, outdoor skating rink, outdoor swimming pool",0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Plant for manufacturing, processing and assembling goods",5,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Post-secondary institution - technical institute, trade school",0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Recreation,1,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Restaurant, bar, tavern, night club, diner, donut shop",2,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Retail and wholesale outlets,11,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Retail complex - plaza, mall, shopping center, store and office building",0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Row condominium,0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Schools, education",1,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Secondary school, high school, junior high school",0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Service stations,0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Special building use - funeral director, crematorium, mausoleum",0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Theatre and performing art center - movie theatre, concert hall, opera house, cultural center",0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Total demolitions,20,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Total major institutional and governmental projects,2,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Total major non-residential projects,39,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Total major permits residential and non-residential,876,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Total major residential project,837,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Total minor commercial projects,63,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Total minor industrial projects,35,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Total minor institutional and governmental projects,9,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Total minor non-residential projects,107,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Total minor residential and non-residential,382,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Total minor residential project,275,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Trade and services,11,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Transportation terminal,0,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Transportation, utilities",1,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,University,1,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Utility building,1,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,Warehouses,6,155129.00,18.96,13.13,5800.00
2018,Prince Edward Island,"Welfare, home",0,155129.00,18.96,13.13,5800.00
2018,Quebec,Agriculture,218,8433888.00,18.82,11.20,367100.00
2018,Quebec,Apartment,18159,8433888.00,18.82,11.20,367100.00
2018,Quebec,Apartment condominium,4726,8433888.00,18.82,11.20,367100.00
2018,Quebec,Apartment total,22885,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Churches, religion",10,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Clinic - health unit, out-patient clinic, first aid station",20,8433888.00,18.82,11.20,367100.00
2018,Quebec,Communication building,4,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Convention center, exhibition building",6,8433888.00,18.82,11.20,367100.00
2018,Quebec,Double total,2694,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Elementary school, kindergarten",162,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Factories, plants",129,8433888.00,18.82,11.20,367100.00
2018,Quebec,Government buildings,46,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Government legislative and administration building other than office building - city hall, court of justice, embassy, parliament and senate building",31,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Hospital general - military, specialized",39,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Hotel, hotel and motel, motor hotel",18,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Hotels, restaurants",117,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Indoor recreational building - sports complex, tennis court and squash, community center, arena, curling club, swimming pool",52,8433888.00,18.82,11.20,367100.00
2018,Quebec,Laboratories,10,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Library, museum, art gallery, aquarium, botanical garden, archive building, scientific center",5,8433888.00,18.82,11.20,367100.00
2018,Quebec,Maintenance building,13,8433888.00,18.82,11.20,367100.00
2018,Quebec,Major multiple dwelling projects,27273,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Medical, hospital",59,8433888.00,18.82,11.20,367100.00
2018,Quebec,Mining and agriculture,223,8433888.00,18.82,11.20,367100.00
2018,Quebec,Mining building,5,8433888.00,18.82,11.20,367100.00
2018,Quebec,Minor multiple dwelling projects,7359,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Motel, cabin for tourism",1,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Motor vehicle show room (new and used) - car dealership, used car, motorcycle and tractor sale",15,8433888.00,18.82,11.20,367100.00
2018,Quebec,Multiple dwelling building total,57928,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Office building - consultant's office, doctor's office, insurance company, bank, taxi stand, office with cafeteria, office with smoke shop",290,8433888.00,18.82,11.20,367100.00
2018,Quebec,Office buildings,300,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Office complex, office and store, office and apartment",10,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Other accommodation - student's residence, boarding house, religious residence, hostel, dormitory",25,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Other government building - police station, prison, fire station, military building",15,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Outdoor recreational building - country club, golf club campground facilities, outdoor skating rink, outdoor swimming pool",19,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Plant for manufacturing, processing and assembling goods",116,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Post-secondary institution - technical institute, trade school",68,8433888.00,18.82,11.20,367100.00
2018,Quebec,Recreation,81,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Restaurant, bar, tavern, night club, diner, donut shop",67,8433888.00,18.82,11.20,367100.00
2018,Quebec,Retail and wholesale outlets,177,8433888.00,18.82,11.20,367100.00
2018,Quebec,"Retail complex - plaza, mall, shopping center, store and office building",171,8433888.00,18.82,11.20,367100.00
